ст,но ↔ цл,ял | a=899, b=848, score=-1000000000.0000
на,ст ↔ ле,чо | a=605, b=625, score=-2625.5548
на,ст ↔ чо,цл | a=284, b=634, score=-314.0791
на,ст ↔ чо,ял | a=191, b=634, score=-2009.4044
на,ст ↔ чо,ае | a=604, b=448, score=-1756.0251
на,ст ↔ чо,ле | a=356, b=448, score=-3845.7463
на,но ↔ цл,ял | a=155, b=693, score=-1000000000.0000
на,но ↔ цл,ае | a=500, b=42, score=-1603.7299
на,но ↔ цл,ле | a=593, b=42, score=-2804.5748
на,но ↔ цл,чо | a=277, b=538, score=-410.9673
на,но ↔ ял,цл | a=806, b=941, score=-1000000000.0000
на,но ↔ ял,ае | a=345, b=290, score=-805.8420
на,но ↔ ял,ле | a=438, b=290, score=-704.1524
на,но ↔ ял,чо | a=122, b=786, score=-12.3613
на,но ↔ ае,цл | a=461, b=656, score=-1207.0389
на,но ↔ ае,ял | a=616, b=656, score=-23.2174
на,но ↔ ае,ле | a=93, b=5, score=-1000000000.0000
на,но ↔ ае,чо | a=738, b=501, score=-27.2163
на,но ↔ ле,цл | a=368, b=36, score=-720.6125
на,но ↔ ле,ял | a=523, b=36, score=72.3613
на,но ↔ ле,ае | a=868, b=346, score=-1000000000.0000
на,но ↔ ле,чо | a=645, b=842, score=-131.8769
на,но ↔ чо,цл | a=684, b=882, score=-109.8550
на,но ↔ чо,ял | a=839, b=882, score=-217.9372
на,но ↔ чо,ае | a=223, b=231, score=60.1394
на,но ↔ чо,ле | a=316, b=231, score=-329.9620
на,то ↔ цл,ял | a=155, b=693, score=-1000000000.0000
на,то ↔ цл,ае | a=593, b=42, score=-2804.5748
на,то ↔ цл,ле | a=686, b=42, score=-3509.7423
на,то ↔ цл,чо | a=711, b=538, score=-12.7556
на,то ↔ ял,цл | a=806, b=941, score=-1000000000.0000
на,то ↔ ял,ае | a=438, b=290, score=-704.1524
на,то ↔ ял,ле | a=531, b=290, score=-1799.5621
на,то ↔ ял,чо | a=556, b=786, score=-113.8820
на,то ↔ ае,цл | a=368, b=656, score=73.6004
на,то ↔ ае,ял | a=523, b=656, score=-423.2033
на,то ↔ ае,ле | a=93, b=5, score=-1000000000.0000
на,то ↔ ае,чо | a=118, b=501, score=-620.0774
на,то ↔ ле,цл | a=275, b=36, score=-923.8229
на,то ↔ ле,ял | a=430, b=36, score=-1622.4993
на,то ↔ ле,ае | a=868, b=346, score=-1000000000.0000
на,то ↔ ле,чо | a=25, b=842, score=-219.8944
на,то ↔ чо,цл | a=250, b=882, score=-412.0093
на,то ↔ чо,ял | a=405, b=882, score=-212.1783
на,то ↔ чо,ае | a=843, b=231, score=-230.2295
на,то ↔ чо,ле | a=936, b=231, score=66.0955
на,ен ↔ цл,ял | a=93, b=693, score=-1000000000.0000
на,ен ↔ цл,ае | a=52, b=879, score=-414.1918
на,ен ↔ цл,ле | a=300, b=879, score=-2324.0059
на,ен ↔ цл,чо | a=98, b=600, score=-2301.2940
на,ен ↔ ял,цл | a=868, b=941, score=-1000000000.0000
на,ен ↔ ял,ае | a=920, b=166, score=-722.8795
на,ен ↔ ял,ле | a=207, b=166, score=-513.6145
на,ен ↔ ял,чо | a=5, b=848, score=-903.1245
на,ен ↔ ае,цл | a=909, b=780, score=-515.7406
на,ен ↔ ае,ял | a=41, b=780, score=-2022.5556
на,ен ↔ ае,ле | a=248, b=5, score=-1000000000.0000
на,ен ↔ ае,чо | a=46, b=687, score=-115.6562
на,ен ↔ ле,цл | a=661, b=160, score=-727.7795
на,ен ↔ ле,ял | a=754, b=160, score=-1024.9493
на,ен ↔ ле,ае | a=713, b=346, score=-1000000000.0000
на,ен ↔ ле,чо | a=759, b=67, score=-405.8843
на,ен ↔ чо,цл | a=863, b=820, score=-410.5872
на,ен ↔ чо,ял | a=956, b=820, score=-1512.9386
на,ен ↔ чо,ае | a=915, b=45, score=73.1357
на,ен ↔ чо,ле | a=202, b=45, score=-824.2594
ен,ст ↔ цл,ял | a=434, b=817, score=-1000000000.0000
ен,ст ↔ цл,ае | a=67, b=8, score=-1209.5734
ен,ст ↔ цл,ле | a=904, b=659, score=-1411.3757
ен,ст ↔ цл,чо | a=385, b=400, score=-2104.2509
ен,ст ↔ ял,цл | a=527, b=817, score=-1000000000.0000
ен,ст ↔ ял,ае | a=594, b=132, score=-906.3489
ен,ст ↔ ял,ле | a=470, b=783, score=-710.7280
ен,ст ↔ ял,чо | a=912, b=524, score=-1207.1374
ен,ст ↔ ае,цл | a=894, b=690, score=-423.6961
ен,ст ↔ ае,ял | a=367, b=814, score=-620.2042
ен,ст ↔ ае,ле | a=837, b=656, score=-1000000000.0000
ен,ст ↔ ае,чо | a=318, b=397, score=-528.4554
ен,ст ↔ ле,цл | a=57, b=380, score=-119.4861
ен,ст ↔ ле,ял | a=491, b=504, score=-215.8392
ен,ст ↔ ле,ае | a=124, b=656, score=-1000000000.0000
ен,ст ↔ ле,чо | a=442, b=87, score=-432.7781
ен,ст ↔ чо,цл | a=576, b=59, score=-899.8296
ен,ст ↔ чо,ял | a=49, b=183, score=-2002.8288
ен,ст ↔ чо,ае | a=643, b=335, score=-451.7305
ен,ст ↔ чо,ле | a=519, b=25, score=-356.4475
ен,но ↔ цл,ял | a=248, b=352, score=-1000000000.0000
ен,но ↔ цл,ае | a=800, b=833, score=-1016.0082
ен,но ↔ цл,ле | a=180, b=244, score=-3625.3717
ен,но ↔ цл,чо | a=251, b=809, score=-1515.3605
ен,но ↔ ял,цл | a=713, b=321, score=-1000000000.0000
ен,но ↔ ял,ае | a=552, b=461, score=-1121.1476
ен,но ↔ ял,ле | a=893, b=833, score=-616.7826
ен,но ↔ ял,чо | a=3, b=437, score=-1021.0912
ен,но ↔ ае,цл | a=161, b=826, score=92.2149
ен,но ↔ ае,ял | a=409, b=485, score=-212.6992
ен,но ↔ ае,ле | a=341, b=377, score=-1000000000.0000
ен,но ↔ ае,чо | a=412, b=942, score=-5513.4314
ен,но ↔ ле,цл | a=781, b=795, score=-9.2495
ен,но ↔ ле,ял | a=68, b=454, score=91.3700
ен,но ↔ ле,ае | a=620, b=935, score=-1000000000.0000
ен,но ↔ ле,чо | a=71, b=911, score=-1123.3019
ен,но ↔ чо,цл | a=710, b=611, score=-2.4204
ен,но ↔ чо,ял | a=958, b=270, score=-403.8144
ен,но ↔ чо,ае | a=549, b=751, score=-7.5458
ен,но ↔ чо,ле | a=890, b=162, score=99.3396
ен,то ↔ цл,ял | a=248, b=352, score=-1000000000.0000
ен,то ↔ цл,ае | a=769, b=275, score=-1116.5010
ен,то ↔ цл,ле | a=149, b=647, score=-1420.7956
ен,то ↔ цл,чо | a=747, b=127, score=-1013.0090
ен,то ↔ ял,цл | a=713, b=321, score=-1000000000.0000
ен,то ↔ ял,ае | a=521, b=864, score=-1616.2335
ен,то ↔ ял,ле | a=862, b=275, score=-1425.9913
ен,то ↔ ял,чо | a=499, b=716, score=-3819.6409
ен,то ↔ ае,цл | a=192, b=423, score=-413.7694
ен,то ↔ ае,ял | a=440, b=82, score=-420.2323
ен,то ↔ ае,ле | a=341, b=377, score=-1000000000.0000
ен,то ↔ ае,чо | a=939, b=818, score=-819.5424
ен,то ↔ ле,цл | a=812, b=392, score=91.6939
ен,то ↔ ле,ял | a=99, b=51, score=-114.7128
ен,то ↔ ле,ае | a=620, b=935, score=-1000000000.0000
ен,то ↔ ле,чо | a=598, b=787, score=-1216.1631
ен,то ↔ чо,цл | a=214, b=332, score=-96.7460
ен,то ↔ чо,ял | a=462, b=952, score=-204.1242
ен,то ↔ чо,ае | a=22, b=875, score=-303.6455
ен,то ↔ чо,ле | a=363, b=286, score=-2304.4199
ен,на ↔ цл,ял | a=868, b=941, score=-1000000000.0000
ен,на ↔ цл,ае | a=909, b=780, score=-515.7406
ен,на ↔ цл,ле | a=661, b=160, score=-727.7795
ен,на ↔ цл,чо | a=863, b=820, score=-410.5872
ен,на ↔ ял,цл | a=93, b=693, score=-1000000000.0000
ен,на ↔ ял,ае | a=41, b=780, score=-2022.5556
ен,на ↔ ял,ле | a=754, b=160, score=-1024.9493
ен,на ↔ ял,чо | a=956, b=820, score=-1512.9386
ен,на ↔ ае,цл | a=52, b=879, score=-414.1918
ен,на ↔ ае,ял | a=920, b=166, score=-722.8795
ен,на ↔ ае,ле | a=713, b=346, score=-1000000000.0000
ен,на ↔ ае,чо | a=915, b=45, score=73.1357
ен,на ↔ ле,цл | a=300, b=879, score=-2324.0059
ен,на ↔ ле,ял | a=207, b=166, score=-513.6145
ен,на ↔ ле,ае | a=248, b=5, score=-1000000000.0000
ен,на ↔ ле,чо | a=202, b=45, score=-824.2594
ен,на ↔ чо,цл | a=98, b=600, score=-2301.2940
ен,на ↔ чо,ял | a=5, b=848, score=-903.1245
ен,на ↔ чо,ае | a=46, b=687, score=-115.6562
ен,на ↔ чо,ле | a=759, b=67, score=-405.8843
